pays_code,pays_nom,annee,valeur,indicateur,source,updated_at
BEN,Benin,2020,3.84879240030133,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2019,6.86568662848335,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2024,4.79980951667159,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2023,3.00027415814125,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2022,1.62673258211919,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2021,6.94252492572348,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2020,2.01077262406221,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2019,5.88920497068135,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2024,6.01953461940062,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2023,6.60000045223954,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2022,6.39988362720531,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2021,7.06332910205232,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2020,0.699728593494228,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2019,6.72137167584978,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2024,4.14631137217332,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2023,5.82749502627256,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2022,5.52987253058352,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2021,5.05055831244401,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2020,2.89139814952995,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2019,5.32749571119344,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2024,4.99226917482922,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2023,4.72541109080376,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2022,3.70319027595568,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2021,3.10094124444834,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2020,-1.16910834828603,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2019,4.99999911608818,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2024,10.3000000007793,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2023,1.66763406484279,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2022,11.9000000000277,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2021,1.38359636198477,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2020,3.55064109436891,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
NER,Niger,2019,5.93985257123522,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2024,6.06055141198976,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2023,4.2574308328029,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2022,3.85043193735768,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2021,6.54400109964304,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2020,1.3420737726679,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
SEN,Senegal,2019,4.61362809749708,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2024,6.53204505563791,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2023,6.19211576941919,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2022,6.29443692019429,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2021,5.12890113701732,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2020,2.16228657424364,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
TGO,Togo,2019,4.92283321360694,Croissance PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2023,61.9320439111455,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2022,63.1897248087734,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2021,55.5822235545459,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2020,73.3851925518101,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2019,47.0623633717549,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2018,45.5738610534927,Dette publique / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2023,-8.17628006592928,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2022,-5.68712530548323,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2021,-4.15352071063382,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2020,-1.74648575797682,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BEN,Benin,2019,-3.99948140400368,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2023,-5.05747162530599,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2022,-7.5391211537643,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2021,0.392208859644244,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2020,4.1931251239965,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
BFA,Burkina Faso,2019,-3.26728197882863,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2024,-4.46811097764034,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2023,-8.05003680066955,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2022,-7.60520680486661,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2021,-3.94825311453383,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2020,-3.13243536755175,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
CIV,Cote d'Ivoire,2019,-2.23379059024848,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2024,-7.29050662761738,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2023,-7.52781936859698,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2022,-7.8855460445174,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2021,-0.740414184193309,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2020,-2.26873597138549,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
GNB,Guinea-Bissau,2019,-7.98194454455476,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2024,-4.32433474076126,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2023,-6.48963461165968,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2022,-6.54582121437751,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2021,-6.3850831125797,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
MLI,Mali,2020,-1.83434524248166,Balance courante / PIB (%),Banque Mondiale,2026-05-06 23:28:36
